,Predictions,Actual,Stock Price
601,31.13010456931002,30.85,30.3
1313,78.3008391250775,52.97,79.44
857,76.46722103220762,79.13,74.91
414,19.077425538873015,17.65,19.4
829,88.47394833383426,85.45,86.54
1117,148.03767592965733,135.95,146.65
259,145.18750758188725,141.86,143.8
1382,58.86703860676634,55.29,57.74
277,81.84864947708049,83.41,80.65
1131,66.67128400648761,59.97,66.3
467,51.356391348427245,40.48,50.09
54,231.65175512944637,234.99,233.08
1666,53.02128138083413,49.96,52.07
197,52.82988500525259,53.7,53.2
420,300.78155462800896,319.48,302.05
836,12.360244920956385,10.77,11.25
973,12.072230061469545,7.94,10.1
1378,141.96843431897287,143.55,140.89
719,87.72818711466063,87.33,86.77
1450,67.55601959508618,71.03,65.07
1799,94.88763772193214,91.63,92.27
1883,19.10823566599681,17.71,18.01
1514,108.89577120039283,100.71,106.44
1316,101.53901611944255,103.56,99.91
1882,43.978758495733935,47.19,43.16
1328,61.86708096982348,65.0,59.37
1267,32.69257282045956,33.88,31.41
983,45.86496646285517,44.8,45.11
502,50.78392967731444,50.64,49.48
147,31.636850877883322,32.49,30.25
359,120.46102113675657,122.03,119.74
1845,75.96771818401744,77.62,74.18
497,82.18258713534928,82.07,78.2
925,16.931848507378007,15.42,15.58
1029,20.72067037872874,19.15,19.68
713,110.14501016066407,112.65,107.9
1696,94.68499035352772,100.67,93.46
1654,69.93942002591646,70.4,68.88
